state_name,month_reported,reported_cases,weather_notes,extra_column
Kano,Jul,986,Heavy rain,irrelevant
Anambra,Oct,1921,123,
crossriver,???,1440,Heavy rain,irrelevant
lagos ,May,1402,,
Kano,Dec,137,Dry season,###
Niger,Sep,630,flooded!!!,irrelevant
??Rivers,Oct,1076,123,
Borno,May,43,flooded!!!,irrelevant
Delta,Feb,1465,Dry season,
Ogun,Jan,1989,123,###
Ondo,Nov,1913,flooded!!!,###
Imo,Jan,411,,###
Bauchi,Dec,809,,irrelevant
lagos ,Nov,1812,123,irrelevant
S0koto,Dec,1064,Heavy rain,
Niger,Apr,1568,,irrelevant
katsina,Dec,1475,,
Bauchi,???,1656,Heavy rain,irrelevant
KAN0,,514,Heavy rain,###
Kebbis,Dec,1019,,irrelevant
kogi,Jan,945,Heavy rain,irrelevant
Benue,May,603,Dry season,irrelevant
benue,Mar,622,123,irrelevant
Yobe,Apr,1385,,irrelevant
Enugu,Jan,1701,,
Anambra,Nov,750,123,irrelevant
Ebonyi,Jul,1044,flooded!!!,irrelevant
lagos ,Feb,1993,flooded!!!,###
kogi,Jul,815,Dry season,###
Kaduba,Dec,229,123,###
Taraba,May,1962,Heavy rain,irrelevant
Taraba,Feb,1161,Heavy rain,
katsina,Feb,26,Heavy rain,###
KAN0,Apr,317,123,irrelevant
Imo,Jul,1694,,###
Niger,,1192,flooded!!!,###
Borno,???,417,Dry season,irrelevant
Ondo,Jul,24,123,
benue,Jun,668,,irrelevant
Kaduba,Jan,1357,Dry season,
benue,Nov,1876,123,
crossriver,May,76,flooded!!!,###
gombe,Dec,889,Heavy rain,###
G0mbe,Nov,1966,123,
Lagos,Jul,1505,,
Yobe,Oct,1136,Heavy rain,###
Delta,Mar,544,flooded!!!,###
Yobe,Nov,1143,Dry season,
Lagos,???,1866,,irrelevant
Yobe,Aug,1801,Heavy rain,
S0koto,Mar,1078,flooded!!!,irrelevant
Imo,Jul,881,123,irrelevant
Cross River,Feb,1458,flooded!!!,
Adamawa,Jan,21,123,###
Kaduba,Feb,1757,flooded!!!,
katsina,Feb,1133,flooded!!!,irrelevant
Imo,Dec,1987,,
lagos ,Jun,915,123,###
S0koto,Mar,1973,Heavy rain,irrelevant
KAN0,???,755,Dry season,irrelevant
Oyo,Oct,1938,Dry season,
Bayelsa,Aug,1813,123,irrelevant
Kwara,Jun,1146,Dry season,###
G0mbe,Mar,133,Heavy rain,###
Cross River,Jan,1907,,###
kogi,Sep,603,Dry season,irrelevant
Jigawa,Dec,1701,,irrelevant
Taraba,Apr,1897,Heavy rain,irrelevant
Enugu,Apr,716,Dry season,
lagos ,Oct,332,,irrelevant
??Rivers,May,1589,123,###
Kano,,1256,Dry season,irrelevant
Ekiti,May,449,123,
Anambra,Jul,1682,Dry season,irrelevant
Oyo,Mar,952,123,
S0koto,Apr,669,,irrelevant
Ed0o,Feb,1382,flooded!!!,
Taraba,May,52,123,
Bayelsa,Apr,211,Heavy rain,irrelevant
Taraba,Apr,673,,
Ed0o,Feb,1931,Heavy rain,
S0koto,Aug,651,Heavy rain,###
Borno,Feb,582,Dry season,###
??Rivers,Apr,1055,123,###
Kaduba,Oct,628,123,irrelevant
Enugu,Jan,917,Heavy rain,
Plateau,Jul,591,flooded!!!,
Borno,Aug,1698,123,irrelevant
Niger,Apr,1639,flooded!!!,
benue,,1769,Dry season,
Delta,Mar,110,flooded!!!,###
gombe,Nov,1095,flooded!!!,###
Yobe,Nov,1625,flooded!!!,###
Oyo,Nov,1067,,###
Rivers,Jul,1713,Dry season,irrelevant
Abla,Feb,114,,
Ekiti,Oct,1183,123,
G0mbe,Sep,103,flooded!!!,irrelevant
benue,Nov,779,flooded!!!,
Kebbis,???,734,,irrelevant
Plateau,Nov,935,,###
Kaduna,Sep,1751,flooded!!!,###
Bauchi,Apr,56,,
Abuja,???,771,flooded!!!,
Benue,Jul,1484,,irrelevant
Kaduna,Jun,1580,Heavy rain,###
Ed0o,Dec,576,123,###
Oyo,Mar,458,flooded!!!,irrelevant
Nasarawa,Mar,1669,Heavy rain,
Adamawa,Oct,366,,irrelevant
Yobe,Aug,807,flooded!!!,irrelevant
Ebonyi,Dec,61,Dry season,###
Rivers,Jan,25,Heavy rain,irrelevant
Kano,May,1423,Heavy rain,irrelevant
katsina,Dec,1523,Dry season,irrelevant
Kano,Jul,487,Dry season,###
Ed0o,Feb,1649,,irrelevant
Niger,Nov,977,Dry season,###
Benue,Mar,376,,irrelevant
Borno,Oct,1613,Heavy rain,irrelevant
Taraba,Apr,786,123,irrelevant
Bayelsa,Mar,144,Heavy rain,###
Oyo,Mar,1801,Dry season,
Bauchi,Sep,631,flooded!!!,
Plateau,Sep,342,Dry season,###
Oyo,Oct,1826,,
KAN0,Jan,490,Dry season,irrelevant
Rivers,Sep,60,,###
Delta,Mar,784,flooded!!!,###
Ebonyi,Aug,544,Dry season,
lagos ,Sep,1501,Heavy rain,irrelevant
Adamawa,Jan,20,123,irrelevant
katsina,Aug,424,,irrelevant
Kaduba,Jul,1169,flooded!!!,irrelevant
benue,May,146,flooded!!!,###
Ondo,Mar,946,Dry season,irrelevant
Ondo,Feb,1562,123,###
Kaduna,Mar,177,,
Plateau,,1110,123,irrelevant
Enugu,Feb,29,Heavy rain,
Plateau,,577,123,###
Enugu,Nov,84,Heavy rain,irrelevant
??Rivers,Dec,1606,Heavy rain,irrelevant
Imo,Mar,1098,flooded!!!,irrelevant
Cross River,Nov,206,123,irrelevant
Ekiti,Aug,1590,Heavy rain,irrelevant
Kaduna,,989,Heavy rain,
Kaduna,Jul,1944,flooded!!!,irrelevant
crossriver,Aug,196,123,###
lagos ,Dec,446,Heavy rain,
??Rivers,Jan,296,flooded!!!,
??Rivers,Feb,1295,Dry season,irrelevant
Ogun,???,349,,###
Plateau,Apr,1814,flooded!!!,###
Abla,Apr,1368,,irrelevant
Plateau,May,1983,123,irrelevant
Imo,Jul,788,Dry season,###
kogi,Jan,1251,Dry season,irrelevant
Abuja,Jan,287,,irrelevant
Anambra,Jun,1026,,irrelevant
benue,Apr,355,Heavy rain,irrelevant
Adamawa,May,1493,Heavy rain,
Cross River,Feb,844,flooded!!!,
Taraba,,952,flooded!!!,irrelevant
Anambra,,719,Heavy rain,
Lagos,Jul,1699,Dry season,
??Rivers,Dec,29,,irrelevant
Niger,Sep,1442,flooded!!!,irrelevant
Osun,Aug,998,Heavy rain,###
Cross River,Dec,235,Heavy rain,irrelevant
Kebbis,Apr,1591,Dry season,###
Plateau,???,1587,Dry season,###
Kano,Feb,1909,123,###
Kaduna,Feb,349,,###
Kano,Oct,1174,Dry season,###
Bauchi,Jan,1206,Dry season,
Jigawa,Aug,908,123,
Taraba,Feb,44,123,irrelevant
Rivers,Dec,697,123,irrelevant
Kebbis,Apr,255,Heavy rain,irrelevant
benue,Mar,1996,Dry season,###
Rivers,Sep,1390,flooded!!!,irrelevant
Jigawa,Aug,1984,123,
crossriver,Oct,99,,###
Ebonyi,,1549,,
Anambra,Oct,1642,,###
Bauchi,Oct,1561,flooded!!!,irrelevant
Abuja,May,325,,
Bauchi,???,1542,,
Cross River,May,488,123,irrelevant
Borno,Feb,320,Dry season,
Nasarawa,Apr,537,flooded!!!,irrelevant
KAN0,,1075,,
Abla,Dec,1436,Dry season,
Ed0o,Jul,1459,Dry season,###
benue,Jan,405,,###
Adamawa,Jan,1719,123,###
Ed0o,Sep,1516,123,###
Kaduna,Feb,1337,flooded!!!,###
Kaduna,Jan,1960,,irrelevant
G0mbe,Sep,1442,flooded!!!,###
Zamfara,Aug,1043,123,irrelevant
Ogun,Jun,1042,flooded!!!,
Ebonyi,Jun,1273,Dry season,
Kebbis,May,923,123,###
Borno,Aug,863,123,
Bauchi,Jun,1495,123,irrelevant
Imo,Jun,231,Heavy rain,irrelevant
S0koto,Mar,888,,###
katsina,Oct,1909,Heavy rain,irrelevant
Ed0o,Dec,1849,,###
Bayelsa,Jun,537,flooded!!!,###
Kaduna,Mar,1873,flooded!!!,irrelevant
Ed0o,???,1284,flooded!!!,###
gombe,Dec,1726,Dry season,irrelevant
gombe,May,1624,flooded!!!,
Delta,May,0,Dry season,irrelevant
KAN0,Apr,120,Heavy rain,
Niger,Jan,1684,123,###
Kaduna,Feb,928,Heavy rain,irrelevant
Kebbis,Jul,1440,123,
Abla,Aug,1909,flooded!!!,irrelevant
gombe,Jan,411,Dry season,###
Abuja,Oct,648,Dry season,
Benue,Dec,661,Heavy rain,###
Jigawa,Feb,1265,Dry season,###
Kebbis,Nov,779,123,irrelevant
Enugu,Sep,1028,,
Ekiti,Sep,1614,,irrelevant
Bauchi,Jun,425,123,###
gombe,Sep,1302,Heavy rain,irrelevant
??Rivers,Oct,178,123,###
Plateau,Apr,1391,Dry season,
lagos ,Jul,1885,flooded!!!,irrelevant
Enugu,???,1159,flooded!!!,irrelevant
Rivers,Dec,1760,Heavy rain,
benue,May,21,Dry season,###
Ed0o,Sep,1829,flooded!!!,irrelevant
crossriver,Feb,1572,,irrelevant
Imo,Jul,276,123,
Abla,Sep,1567,Heavy rain,irrelevant
Enugu,Sep,-100,Dry season,
Niger,Oct,1092,123,irrelevant
Kwara,Jun,1106,123,
S0koto,???,267,,
Ekiti,Jun,1921,123,###
Ebonyi,Dec,696,Dry season,irrelevant
??Rivers,Oct,231,Heavy rain,
Adamawa,Nov,1786,Heavy rain,###
Abuja,Aug,488,123,irrelevant
Osun,Jul,1412,123,irrelevant
Abla,Jan,1175,,###
Niger,Sep,1605,Dry season,irrelevant
Osun,Feb,1520,,
Ondo,Sep,496,Heavy rain,
Anambra,Aug,1308,123,###
Ebonyi,Jan,90,Dry season,
lagos ,Jun,639,Heavy rain,irrelevant
G0mbe,Oct,1169,flooded!!!,irrelevant
Ondo,Feb,832,Dry season,irrelevant
Niger,Nov,15,123,irrelevant
Enugu,Jul,1488,,irrelevant
Bayelsa,Jan,1508,flooded!!!,###
Oyo,May,920,flooded!!!,###
Anambra,Sep,834,,
Enugu,Jan,143,123,
Bauchi,Jun,688,flooded!!!,
Adamawa,Sep,210,flooded!!!,
lagos ,Nov,1735,Dry season,###
Oyo,Jul,1670,flooded!!!,irrelevant
Ondo,???,456,,###
Borno,Jan,1621,123,
kogi,Apr,1790,,
Kaduba,Jun,678,Dry season,
Kano,Jun,1879,flooded!!!,
Taraba,Aug,80,,###
Kano,Sep,104,Heavy rain,
Imo,Jan,1311,Dry season,irrelevant
Kebbis,May,1049,,irrelevant
Enugu,???,-100,flooded!!!,
Niger,Nov,751,Heavy rain,
Kaduna,Feb,1463,,irrelevant
lagos ,Feb,973,flooded!!!,irrelevant
Plateau,Jan,1284,Heavy rain,###
Anambra,Jul,1606,123,###
Anambra,Apr,28,Heavy rain,irrelevant
lagos ,Feb,1070,Heavy rain,irrelevant
Bauchi,Feb,1786,123,irrelevant
Niger,Sep,71,flooded!!!,
benue,Oct,1703,,
Kaduna,May,285,Dry season,###
Abla,,1003,Dry season,irrelevant
S0koto,Sep,621,Dry season,irrelevant
crossriver,Mar,1626,Heavy rain,
Zamfara,Apr,1412,123,
??Rivers,Mar,419,123,irrelevant
Kaduba,Oct,1693,123,
Kaduna,Jun,1731,flooded!!!,
Kebbis,Dec,1847,flooded!!!,###
Anambra,Aug,1084,flooded!!!,
lagos ,Jan,1633,,irrelevant
Kano,Aug,896,123,###
Yobe,Apr,111,,
Kwara,Oct,1175,,irrelevant
Bauchi,Jan,1564,Dry season,
??Rivers,Jun,884,flooded!!!,
Taraba,Mar,1674,Heavy rain,###
Niger,Apr,1812,flooded!!!,###
Nasarawa,Aug,316,Dry season,
Kano,,355,Dry season,
Kebbis,Jun,3,Heavy rain,irrelevant
Osun,Feb,1501,,irrelevant
Zamfara,Jun,1304,Heavy rain,irrelevant
Ekiti,???,893,,
Anambra,Nov,472,Heavy rain,irrelevant
Enugu,Mar,432,flooded!!!,irrelevant
gombe,May,1292,123,
Kano,Aug,128,Dry season,
crossriver,Feb,474,123,###
Jigawa,May,1204,flooded!!!,irrelevant
KAN0,Aug,1893,123,###
Delta,Oct,493,flooded!!!,###
KAN0,Feb,529,Heavy rain,
Anambra,,453,Dry season,
Kaduna,,507,Dry season,irrelevant
gombe,,621,,
katsina,Jun,789,Dry season,###
Kebbis,Aug,1209,123,
katsina,???,1206,flooded!!!,###
Osun,Jun,1361,123,irrelevant
Niger,Feb,1585,,###
Osun,Apr,319,Heavy rain,###
Jigawa,Feb,768,flooded!!!,irrelevant
gombe,Jul,1553,flooded!!!,###
Kaduba,Sep,857,Dry season,
benue,Oct,1349,Dry season,irrelevant
kogi,Dec,1628,Heavy rain,irrelevant
gombe,Aug,827,Heavy rain,
Abla,May,1805,123,###
Osun,Sep,1625,,irrelevant
Taraba,Jul,660,,irrelevant
Zamfara,Sep,1145,,
Enugu,,132,Dry season,###
Imo,Mar,269,123,irrelevant
Ebonyi,Jan,1712,flooded!!!,
Kwara,Sep,911,flooded!!!,###
crossriver,May,358,123,###
Nasarawa,,214,123,###
Bauchi,???,1399,123,
Zamfara,Oct,188,Heavy rain,
Zamfara,Mar,1159,Heavy rain,irrelevant
Bauchi,Aug,331,Heavy rain,irrelevant
crossriver,Dec,726,123,irrelevant
S0koto,Nov,483,123,
Osun,???,595,flooded!!!,
Kano,Oct,1564,Dry season,irrelevant
KAN0,Aug,459,flooded!!!,irrelevant
??Rivers,Jun,536,flooded!!!,
Bauchi,Jan,536,123,
Abla,Jan,346,flooded!!!,
gombe,May,1399,Dry season,
Bauchi,Sep,1228,flooded!!!,###
Adamawa,May,1226,123,irrelevant
Ogun,Nov,690,Heavy rain,###
Ebonyi,May,1238,Dry season,irrelevant
Nasarawa,Feb,761,flooded!!!,
Anambra,Aug,1384,flooded!!!,
Rivers,Jul,393,Dry season,irrelevant
Enugu,Apr,565,123,###
Adamawa,Jul,74,flooded!!!,###
crossriver,Dec,266,Dry season,###
Taraba,Oct,1363,Dry season,irrelevant
Bauchi,Oct,868,Heavy rain,###
Osun,Dec,830,flooded!!!,
Taraba,Jun,1496,Dry season,irrelevant
Bauchi,Jan,393,123,irrelevant
Niger,Sep,1633,123,irrelevant
crossriver,Jul,798,123,
lagos ,Aug,296,Heavy rain,
Anambra,Dec,820,,
Ondo,May,44,flooded!!!,irrelevant
Bauchi,Jun,1082,Dry season,###
Ondo,Sep,794,123,irrelevant
Zamfara,Apr,1941,flooded!!!,
KAN0,Oct,1814,flooded!!!,
Plateau,May,177,Heavy rain,irrelevant
crossriver,Jul,1099,Dry season,
Rivers,Jan,511,123,irrelevant
Kebbis,Jun,560,Dry season,###
Niger,Nov,123,flooded!!!,###
Enugu,Jan,1660,123,irrelevant
Kaduna,Aug,1464,123,
crossriver,,1349,Heavy rain,###
Zamfara,Feb,22,Heavy rain,irrelevant
Ogun,Mar,1374,123,
Bayelsa,Nov,139,123,###
Anambra,Oct,866,Heavy rain,irrelevant
KAN0,Jul,368,,###
Abla,Jun,1412,Dry season,###
kogi,Jan,1080,123,
S0koto,???,1489,Dry season,irrelevant
Bauchi,Jul,802,,irrelevant
Yobe,Jan,122,123,###
Yobe,Oct,492,123,###
Ed0o,Mar,367,123,
Delta,???,1570,flooded!!!,irrelevant
Anambra,Aug,6,flooded!!!,###
Delta,Sep,1058,flooded!!!,irrelevant
lagos ,,1278,Heavy rain,irrelevant
Bayelsa,Sep,1108,123,
Kaduna,May,1594,Dry season,
Lagos,Dec,148,Dry season,irrelevant
Anambra,Apr,1250,Dry season,###
lagos ,Apr,123,flooded!!!,irrelevant
Taraba,Jul,1451,flooded!!!,###
G0mbe,Jun,919,Dry season,irrelevant
Abuja,Jul,161,Heavy rain,
Benue,???,438,flooded!!!,
Ebonyi,May,1129,,###
Abla,Jan,505,flooded!!!,irrelevant
Benue,???,1209,123,###
Kano,,1678,Dry season,irrelevant
Adamawa,Aug,1308,Heavy rain,###
lagos ,Jul,1051,flooded!!!,irrelevant
Abla,Apr,1708,,irrelevant
gombe,,648,123,irrelevant
katsina,,543,,###
Kaduba,Apr,1325,Dry season,###
Oyo,Oct,245,flooded!!!,
Enugu,,1322,,###
Lagos,???,256,,###
Ekiti,Jul,753,flooded!!!,###
Kaduba,Apr,1076,Dry season,irrelevant
Taraba,Jun,1812,123,irrelevant
Nasarawa,Jul,298,,
Plateau,Aug,594,,
S0koto,Sep,161,Heavy rain,
Enugu,May,172,,
Bayelsa,Dec,679,flooded!!!,
Ondo,Feb,679,Dry season,
Enugu,Nov,1666,Dry season,
Imo,,544,,
Ebonyi,Aug,87,flooded!!!,irrelevant
Rivers,Sep,1290,Dry season,irrelevant
Anambra,Sep,1482,123,
Cross River,Feb,1036,,
Niger,May,1878,flooded!!!,irrelevant
Imo,Oct,249,,
katsina,Nov,1978,Heavy rain,
Plateau,Apr,58,123,irrelevant
Kaduba,,1612,123,irrelevant
Bayelsa,Sep,1433,Dry season,###
Bayelsa,Nov,1809,,
Plateau,Nov,321,123,
Ebonyi,Aug,725,123,###
Cross River,May,249,flooded!!!,
benue,May,1607,,irrelevant
Abla,Sep,1627,,###
Adamawa,Jan,1866,123,
Kwara,Feb,1448,,
Rivers,Oct,210,Dry season,
Ogun,May,921,Dry season,irrelevant
Benue,,336,123,irrelevant
Enugu,Feb,1431,123,
Bauchi,Jul,1451,123,
Kebbis,Sep,30,123,irrelevant
Cross River,Mar,31,Dry season,
Cross River,Jul,461,flooded!!!,###
Benue,Sep,1882,,
Ogun,Jan,1538,Dry season,
Imo,Jan,1999,123,
benue,Jun,1431,123,###
Plateau,,1586,flooded!!!,###
Yobe,Jan,833,Dry season,irrelevant
Delta,Apr,219,Dry season,irrelevant
Adamawa,Aug,1200,Heavy rain,
Anambra,Feb,44,Heavy rain,irrelevant
Abuja,Apr,729,Heavy rain,irrelevant
gombe,Jun,1760,,###
Abla,Mar,493,Heavy rain,
Delta,Nov,1698,,irrelevant
??Rivers,Feb,1128,123,
Rivers,,1904,flooded!!!,
Kano,Jul,1530,flooded!!!,irrelevant
Bauchi,Oct,1099,,###
Jigawa,Jun,984,Dry season,irrelevant
Anambra,Apr,1390,123,irrelevant
Anambra,Jun,1349,Dry season,###
Benue,Jun,1136,Dry season,
Enugu,Mar,603,123,
Oyo,Jul,522,Dry season,
Borno,Jan,840,Dry season,irrelevant
Adamawa,???,1373,Heavy rain,###
Abuja,Jul,251,Heavy rain,irrelevant
Kaduna,Mar,266,Heavy rain,###
Kaduna,Jan,214,,irrelevant
crossriver,Aug,301,Heavy rain,
Ed0o,Oct,336,Dry season,
Delta,Jun,635,,irrelevant
Lagos,Apr,1381,,
Kaduba,,41,123,###
Ebonyi,Apr,928,,
lagos ,Apr,1658,flooded!!!,
Taraba,Jul,1464,flooded!!!,irrelevant
KAN0,Dec,1449,Dry season,irrelevant
Imo,Dec,153,Heavy rain,
Kaduba,???,264,123,###
Kaduba,Dec,227,Dry season,
Enugu,Feb,561,123,###
Borno,???,1806,123,irrelevant
Kaduba,Nov,1393,flooded!!!,
Yobe,Feb,1320,flooded!!!,###
Kaduba,Nov,644,,
Borno,Mar,265,,irrelevant
Delta,Aug,564,Dry season,
Borno,Dec,280,123,
Delta,Mar,848,123,irrelevant
Plateau,Jun,1188,flooded!!!,irrelevant
Yobe,Jun,1228,123,
gombe,Aug,1146,123,
Oyo,Jun,499,123,###
Kano,Feb,720,,###
Delta,Jun,690,123,
Oyo,May,658,,irrelevant
Kebbis,Mar,43,Heavy rain,###
Kano,May,328,Heavy rain,
lagos ,Feb,1767,flooded!!!,irrelevant
Adamawa,Mar,25,Heavy rain,irrelevant
Osun,Jul,852,,
Benue,Mar,1786,flooded!!!,irrelevant
Ondo,Nov,570,flooded!!!,irrelevant
Anambra,Jun,695,Dry season,
Taraba,Oct,1108,Dry season,###
Oyo,Nov,901,flooded!!!,irrelevant
Plateau,Apr,481,,###
Anambra,Oct,804,Dry season,irrelevant
Kaduna,???,1250,123,
Anambra,May,464,flooded!!!,###
S0koto,May,1697,Dry season,
Kaduna,Oct,1501,123,irrelevant
Kebbis,May,512,flooded!!!,irrelevant
Lagos,???,146,123,irrelevant
benue,???,420,flooded!!!,
Niger,,968,Heavy rain,###
Imo,Jan,1779,Heavy rain,###
Imo,Sep,395,Heavy rain,irrelevant
gombe,Sep,1434,123,irrelevant
??Rivers,May,160,Heavy rain,
Osun,Oct,1429,flooded!!!,###
Zamfara,???,101,123,###
Kaduba,Jan,1677,Dry season,irrelevant
gombe,,1128,123,###
Niger,Oct,1036,flooded!!!,
Ondo,Aug,770,Dry season,irrelevant
lagos ,,1027,Dry season,
Adamawa,Jul,1163,123,###
Benue,Jun,1276,flooded!!!,###
Abuja,Jul,156,Heavy rain,###
Abuja,Jul,498,,
G0mbe,Nov,104,Dry season,irrelevant
Anambra,Jul,577,Dry season,irrelevant
Zamfara,,349,Dry season,###
Enugu,???,1890,123,irrelevant
Rivers,Dec,104,,
Borno,,1478,,###
Cross River,,1422,Heavy rain,
Oyo,Feb,422,Dry season,###
katsina,Sep,668,123,
Kaduna,Dec,802,,
Rivers,Oct,1969,123,###
Anambra,Sep,1253,Dry season,irrelevant
Niger,Mar,98,,###
Ekiti,Nov,557,123,
Rivers,Jan,1033,flooded!!!,
Ogun,Nov,1512,Heavy rain,
kogi,Jul,382,flooded!!!,
katsina,Feb,1010,,###
gombe,Nov,641,,
Benue,Oct,1310,Dry season,###
Ekiti,Oct,207,flooded!!!,irrelevant
benue,,1476,123,irrelevant
gombe,Jul,1973,,
Ogun,Nov,1583,flooded!!!,irrelevant
S0koto,Jan,1741,,
Kwara,Jul,1486,Dry season,###
benue,,1209,flooded!!!,irrelevant
Bayelsa,???,136,,irrelevant
KAN0,???,680,flooded!!!,
Borno,Apr,695,,###
Anambra,Sep,632,,irrelevant
Nasarawa,Mar,542,,
G0mbe,Jun,1311,,irrelevant
Anambra,Apr,765,Dry season,irrelevant
Cross River,Jan,156,Heavy rain,
Kebbis,Feb,569,flooded!!!,###
Ed0o,Aug,282,flooded!!!,
Anambra,Jan,351,,###
Anambra,???,1603,123,###
Kebbis,Sep,1279,Dry season,###
KAN0,Jul,859,,irrelevant
Kwara,Sep,138,123,
Lagos,Sep,1919,123,
Taraba,???,314,Dry season,###
Kebbis,Nov,1710,flooded!!!,###
Kaduna,Jul,264,flooded!!!,irrelevant
lagos ,Jun,512,,###
Oyo,Jun,1871,,
Yobe,,1641,Heavy rain,
Abla,Jun,1102,flooded!!!,
S0koto,Jun,190,Heavy rain,###
Abuja,May,771,,
Rivers,May,1912,Heavy rain,###
Ed0o,May,804,Heavy rain,irrelevant
Oyo,Aug,188,flooded!!!,
Adamawa,???,775,Dry season,###
Kwara,Dec,375,123,
katsina,Jul,1983,Dry season,irrelevant
Rivers,Aug,163,flooded!!!,###
Benue,Apr,1993,flooded!!!,
Abla,May,567,,irrelevant
Abuja,May,1131,flooded!!!,irrelevant
Ed0o,Feb,45,Heavy rain,irrelevant
Anambra,May,1056,123,
Yobe,Oct,444,,irrelevant
Nasarawa,Apr,306,Heavy rain,
Taraba,Dec,262,123,irrelevant
kogi,Oct,212,,
Anambra,Mar,1880,flooded!!!,###
Ekiti,Jan,689,123,irrelevant
Anambra,Sep,798,,###
Kaduba,Oct,304,Heavy rain,irrelevant
Bayelsa,Jun,732,Dry season,###
Kano,???,1321,,irrelevant
Ogun,Nov,739,Dry season,irrelevant
S0koto,Jul,1142,flooded!!!,###
Kano,Oct,1152,,
Kano,May,1404,Dry season,irrelevant
Kano,May,753,,
Lagos,,1811,123,
Imo,Mar,1692,123,
Jigawa,Apr,1748,123,irrelevant
Rivers,,764,123,
Cross River,Jul,1631,,
Taraba,Aug,997,,
katsina,???,317,Dry season,irrelevant
benue,Oct,906,flooded!!!,###
Taraba,,128,Heavy rain,irrelevant
Kebbis,,985,Dry season,irrelevant
Kaduna,Mar,18,flooded!!!,
Cross River,Mar,1195,123,###
gombe,Apr,721,Heavy rain,###
Osun,Mar,701,flooded!!!,
Cross River,Jul,1392,Heavy rain,irrelevant
Jigawa,Nov,1645,,###
Kaduna,Apr,208,,irrelevant
Delta,Sep,295,flooded!!!,irrelevant
Kaduna,???,968,123,###
Kaduna,Nov,88,Heavy rain,irrelevant
Anambra,Sep,671,,irrelevant
Ebonyi,Sep,1507,Heavy rain,irrelevant
KAN0,Dec,939,,
kogi,Aug,949,flooded!!!,
G0mbe,May,834,123,
Bauchi,Jun,1572,,irrelevant
Kaduna,Aug,716,,###
crossriver,,705,Dry season,
Ondo,Nov,1037,123,
KAN0,Mar,623,,irrelevant
Plateau,Aug,554,123,irrelevant
Plateau,May,939,Heavy rain,
Cross River,Dec,1618,,irrelevant
gombe,Mar,646,123,###
benue,May,980,123,irrelevant
benue,Jan,1046,Dry season,###
Kaduba,???,204,,###
Plateau,Apr,1374,Heavy rain,
KAN0,???,576,123,###
Enugu,Dec,1860,,###
Kano,Nov,589,,
Borno,Jan,258,Heavy rain,
Kaduba,Jul,1178,,
KAN0,Feb,306,Heavy rain,
Delta,Jun,1587,Heavy rain,###
Ebonyi,Sep,559,Heavy rain,irrelevant
Abuja,Feb,1757,flooded!!!,
lagos ,Oct,36,Dry season,irrelevant
Zamfara,Nov,637,flooded!!!,irrelevant
Anambra,Dec,1804,Heavy rain,
Kaduba,Sep,609,,###
Cross River,Oct,1844,,
Imo,Jan,1436,123,
Bayelsa,,1948,,irrelevant
Jigawa,Oct,876,,###
Adamawa,Oct,1924,123,###
Kwara,Jul,301,Dry season,
kogi,Mar,66,Heavy rain,
gombe,Aug,728,Dry season,
Plateau,Oct,1129,,irrelevant
Plateau,,1993,123,###
Rivers,Jun,1163,123,irrelevant
Kano,Aug,1969,123,irrelevant
Kebbis,Feb,1739,Dry season,irrelevant
kogi,Jun,1877,Heavy rain,###
Enugu,May,590,flooded!!!,
Ebonyi,Mar,1225,Heavy rain,
Anambra,,1347,123,###
Imo,???,612,Heavy rain,irrelevant
benue,Nov,3,Dry season,irrelevant
Enugu,May,1350,flooded!!!,irrelevant
lagos ,May,666,,###
Imo,Feb,594,,###
Anambra,Nov,1936,Dry season,###
Adamawa,Nov,1653,flooded!!!,
Abuja,Oct,1656,,
Plateau,May,1874,Heavy rain,###
Borno,,971,,###
Delta,Aug,1947,flooded!!!,irrelevant
Plateau,Jan,768,,###
Anambra,Feb,494,flooded!!!,###
Enugu,Nov,78,123,
Anambra,Sep,1320,Dry season,###
Imo,Feb,686,Dry season,irrelevant
Bayelsa,???,1705,flooded!!!,###
Delta,Mar,379,Dry season,###
Abla,Aug,757,Heavy rain,irrelevant
Plateau,Nov,1145,,irrelevant
Kaduba,May,620,flooded!!!,###
Ondo,,1189,Heavy rain,
KAN0,Apr,461,Heavy rain,
Nasarawa,Jan,313,,###
Oyo,May,1543,flooded!!!,irrelevant
Anambra,Nov,774,Heavy rain,###
gombe,???,530,Dry season,###
Kano,???,852,flooded!!!,irrelevant
katsina,,971,,###
Ogun,Feb,888,,
Ed0o,Jan,212,flooded!!!,###
Yobe,Nov,1466,flooded!!!,irrelevant
Ebonyi,May,468,123,###
Osun,Jun,1826,,###
Ed0o,Aug,1636,,###
Lagos,???,1837,Dry season,irrelevant
Ogun,Aug,799,123,irrelevant
Cross River,,1641,Dry season,irrelevant
Borno,Apr,1893,,
Anambra,Mar,627,,###
Borno,Feb,604,Heavy rain,irrelevant
Plateau,Dec,425,Dry season,###
??Rivers,Oct,1116,Heavy rain,irrelevant
Kano,Nov,1884,flooded!!!,irrelevant
Imo,Apr,981,Heavy rain,irrelevant
Jigawa,???,302,flooded!!!,###
katsina,,471,Dry season,###
Osun,May,115,Dry season,
Lagos,Jul,1262,Dry season,
Ed0o,Jun,32,flooded!!!,###
Ed0o,Feb,120,123,irrelevant
Imo,Aug,1221,123,irrelevant
??Rivers,Jul,1203,,
